"","price","bedrooms","bathrooms","sqft_living","sqft_lot","condition","waterfront","yr_built","age"
"55",939.999999999999,3,1.5,2140,3600,"average","No",1925,90
"56",3070,3,2.5,3930,55867,"good","Yes",1957,58
"57",329,3,2.25,2450,6500,"good","No",1985,30
"58",317.625,3,2.75,2770,3809,"very_good","No",1925,90
"59",705,3,3,1970,20978,"good","Yes",1980,35
"60",667,3,1,1400,1581,"very_good","No",1909,106
"61",280,2,1.5,1190,1265,"average","No",2005,10
"62",390,3,2.5,2350,5100,"average","No",2003,12
"63",322.5,4,2.75,2060,6659,"average","No",1981,34
"64",189,2,1,1200,9850,"good","No",1921,94
"65",549.000000000001,3,1.75,1540,1044,"average","No",2014,1
"66",538,3,2.25,2570,7242,"average","No",1951,64
"67",604.000000000001,4,3,1960,5000,"very_good","No",1965,50
"68",650,3,2.25,2150,21235,"good","No",1959,56
"69",360,4,2.5,1900,5889,"average","No",1992,23
"70",790.000000000001,4,1.75,2460,10061,"average","Yes",1961,54
"71",640,4,2,2360,6000,"good","No",1904,111
"72",600,3,1.75,1410,4080,"good","No",1950,65
"73",325,3,2,1260,5612,"good","No",1972,43
"74",291.85,3,1.5,1060,9711,"average","No",1963,52
"75",650,4,3,2950,5000,"average","No",1979,36
"76",356,3,1.5,1680,8712,"average","No",1964,51
"77",584.999999999999,2,1.75,1980,8550,"average","No",1981,34
"78",240,4,1,1220,8075,"fair","No",1969,46
"79",345,5,2.5,3150,9134,"good","No",1966,49
"80",2125,3,2.5,5403,24069,"good","Yes",1976,39
"81",510,3,2,1680,8080,"average","No",1987,28
"82",430,4,3,1850,9976,"average","No",1991,24
"83",180,2,1,770,10000,"average","No",1933,82
"84",719,4,2.5,2570,7173,"average","No",2005,10
"85",920.000000000001,5,2.25,2730,6000,"average","No",1927,88
"86",1350,3,2.5,2753,65005,"very_good","Yes",1953,62
"87",323,3,2.5,1890,6560,"average","No",2003,12
"88",530,5,2,1810,4850,"average","No",1900,115
"89",349,3,1.75,1790,50529,"very_good","No",1965,50
"90",719.999999999999,4,2.5,3450,39683,"average","No",2002,13
"91",210.49,3,1,990,8528,"average","No",1966,49
"92",662.5,3,2.5,3560,9796,"average","No",1965,50
"93",301,3,2.5,2420,4750,"average","No",2003,12
"94",655,2,1.75,1450,15798,"average","Yes",1915,100
"95",5300,6,6,7390,24829,"good","Yes",1991,24
"96",229.5,3,1,1780,7470,"average","No",1960,55
"97",480,3,1,1040,5060,"average","No",1941,74
"98",1955,4,2.75,3120,7898,"good","Yes",1963,52
"99",230,3,1,1250,9774,"good","No",1969,46
"100",450,3,1.75,1250,5963,"good","No",1953,62
